AWI000424x,J021431.38+574955.9
AWI00019v4,J024130.20+621206.4
AWI0005yjx,J024800.47+365801.7
AWI0002d65,J032810.61+640408.8
AWI0000zr2,J033222.70+572745.1
AWI0005zz6,J040324.67-045905.9
AWI0005zgp,J042115.63+100723.0
AWI0005ymv,J043253.24+173533.4
AWI0002p0i,J052427.97+352723.6
AWI00023p3,J052721.78+430542.5
AWI0004292,J054302.46+233407.7
AWI0001a1z,J064215.98+093240.5
AWI0005cup,J073521.72+545059.1
AWI0005cve,J082740.47+191543.9
AWI0000632,J083737.22+395803.7
AWI00001q1,J103639.06-135520.7
AWI00063q8,J104438.74+260211.3
AWI0005dvt,J112855.80+004645.8
AWI0005cwm,J114739.25-331635.2
AWI0000vk9,J122337.85-071456.4
AWI00001dk,J122825.29-322401.9
AWI0005db2,J123939.87-264722.1
AWI00063wd,J124741.43+342254.0
AWI0005dw9,J130153.64+655407.3
AWI0005cxg,J131316.83-332031.0
