AWI0000x81,J001420.63+631300.1
AWI00019so,J005729.26+650952.3
AWI000628m,J010055.15-713752.9
AWI0000k0x,J010938.22-732002.1
AWI0005yj7,J013222.86+401520.3
AWI000634b,J014922.31+493422.9
AWI0005yjc,J015712.04+405632.8
AWI000424x,J021431.38+574955.9
AWI00019v4,J024130.20+621206.4
AWI0005yjx,J024800.47+365801.7
AWI0002d65,J032810.61+640408.8
AWI0000zr2,J033222.70+572745.1
AWI00062cf,J040233.37-592314.4
AWI0005zgp,J042115.63+100723.0
AWI0005ymv,J043253.24+173533.4
AWI0002p0i,J052427.97+352723.6
AWI00023p3,J052721.78+430542.5
AWI000618y,J053002.27-670245.0
AWI0004292,J054302.46+233407.7
AWI00061u1,J054747.19-602209.8
AWI0001a1z,J064215.98+093240.5
AWI0005zof,J074529.88-844943.7
AWI0005cve,J082740.47+191543.9
AWI0000632,J083737.22+395803.7
AWI00063o4,J095148.70-692019.4
AWI0005yxk,J102527.49-844447.8
AWI00001q1,J103639.06-135520.7
AWI000569k,J113453.81-484512.4
AWI00056bz,J120646.86-501926.2
AWI0000vk9,J122337.85-071456.4
AWI00063vl,J122813.02-755506.1
AWI00001dk,J122825.29-322401.9
AWI0005db2,J123939.87-264722.1
AWI00063wd,J124741.43+342254.0
AWI00010wo,J125330.92-615132.5
AWI0005dw9,J130153.64+655407.3
AWI0005cxg,J131316.83-332031.0
AWI00063ys,J132422.79+480438.1
AWI00006rd,J134356.21-302040.2
AWI0005aru,J135554.84-413132.3
AWI0005doy,J135948.76-121938.0
AWI00056p1,J140602.18-492725.4
AWI0005dd0,J141634.28-214550.2
AWI0005xc6,J144036.03-765914.0
AWI00011ua,J144334.27-581906.8
AWI000644v,J150031.17+252225.8
AWI00002h7,J153622.23-112648.7
AWI0005cd0,J154737.65-220520.7
AWI0005cfp,J160756.17-185949.1
AWI0005g22,J160831.55-384729.5
AWI00005bs,J162051.97+045135.5
AWI0005xen,J162227.30-740039.6
AWI0004q2y,J164848.80-541358.2
AWI0005bed,J170225.41-145804.0
AWI0005hc6,J170948.14-271659.3
AWI0005cm2,J171740.01+001823.2
AWI00000ou,J173219.81+374414.3
AWI0005cog,J174812.06+180435.8
AWI0005bny,J175021.75+132703.1
AWI00064tu,J175602.87-554031.0
AWI00064vz,J180105.59-472915.6
AWI00064z8,J180814.04-494255.8
AWI0006517,J181143.46-463813.6
AWI0006520,J181258.13-393849.7
AWI00059et,J181608.03+142657.0
AWI000655o,J181853.89-445130.1
AWI000635p,J182152.36-393141.3
AWI0005l5e,J182702.92+072021.5
AWI0005zor,J183337.16-751609.6
AWI00020d9,J183621.88+002729.0
AWI00065n8,J183855.48-380548.6
AWI00065we,J184629.52-341922.0
AWI00065zq,J185003.56-262415.4
AWI0005xxy,J191021.11-300904.5
AWI0005xyk,J191659.77-243626.9
AWI0005ltf,J191703.19+285103.0
AWI0003koo,J193205.84+150111.7
AWI00059y8,J193314.20+484150.7
AWI0005zs6,J195428.42-395936.1
AWI00066vk,J195640.08+043245.7
AWI0005ztp,J202449.39-193310.6
AWI000671e,J202640.23+122956.8
AWI000559p,J202710.21+385401.5
AWI0005zc6,J204520.75+073342.2
AWI0005zuy,J210734.65+012227.4
AWI0005zdc,J211250.20+162902.6
AWI000675y,J212443.63+335917.1
AWI0006769,J213243.99+342119.3
AWI00019h2,J215050.42+552659.2
AWI000623h,J215959.89+134531.2
AWI00019ic,J221744.44+580815.6
AWI00067a1,J230423.33+491104.0
